Device,Acc_x,Acc_y,Acc_z
2.0,-3701.523190639058,-1038.0622793416508,141.82358796967836
2.0,-3790.5456589870764,-854.1769424422843,47.940363893743424
2.0,-4332.774486698088,-498.2698830913325,6.991303067837582
2.0,-6475.389492316324,83.58433079279837,-218.30868342372239
2.0,-6427.84306260406,312.4461738301105,-1046.103654337711
2.0,-4096.055617097949,371.1542450502271,1220.4818061140718
2.0,-3698.488239382134,178.1142362561382,595.2594954459394
2.0,-4035.358057647455,223.88658806925915,-234.11382295069149
2.0,-3803.697033006637,431.8523541337154,-387.22624666378147
2.0,-3522.466196388495,154.2329879813507,-397.1044645934808
2.0,-3469.861677435578,-73.15867076643178,-234.11382295069149
2.0,-3476.9431489412905,-26.693029451321383,9.987575811196546
2.0,-3699.4998083739983,333.3422737043412,222.7229386812351
2.0,-3676.232500154464,431.8523541337154,347.5676611310146
2.0,-3753.1158963187795,91.54474179519981,469.41607457692504
2.0,-3770.3135463057974,-165.10133921611504,564.2980581424275
2.0,-3728.83677482605,-308.45278477082485,655.184942679327
2.0,-3813.812967206611,-182.89668454987105,510.36513731127883
2.0,-4291.298448062334,-105.78348835716483,217.7291412333973
2.0,-4459.2276948397275,-245.1804237531834,-93.84310086731051
2.0,-4382.344542956743,-436.97478096993245,-172.86887484007195
2.0,-4765.748489098471,-279.78249260636625,-10.866042967030749
2.0,-5878.532519106006,-470.5882280087862,-272.638882037069
2.0,-5399.023900266554,-661.3939634112061,-1198.2281432777154
2.0,-3150.1895091572746,-25.704398094752772,-912.7476054136871
2.0,-3884.6267051384098,-144.34008263662213,-997.700285716135
2.0,-4395.49518413231,-630.7464276180892,-1017.4567826458665
2.0,-3824.940958961112,-253.08945933814908,-312.15178429103287
2.0,-3636.7793552211074,133.3369186422864,226.7179766395053
2.0,-3883.6148918652143,-433.0202631774496,653.1874542353584
2.0,-3872.4871443920447,-1023.2328147184653,755.0607084250842
2.0,-3545.733260326698,-1192.2886869946465,467.4185250626236
2.0,-3382.8623470712882,-893.7221203671128,258.6782039677511
2.0,-3465.815401468121,-874.9382295569436,164.79499515939932
2.0,-3636.7793552211074,-1066.7324799006103,215.7316375218454
2.0,-3679.267451411388,-1066.7324799006103,239.7018194687171
2.0,-3605.4190065039966,-983.6875757233041,218.72791599054807
2.0,-4030.2999684068022,-782.9955611072603,276.655874779967
2.0,-4157.764012696313,-667.32578590268,165.79376991655005
2.0,-5677.220274190434,-256.05534004871964,67.91551551613651
2.0,-6255.867539859209,185.0795825241042,-266.71197570738246
2.0,-4470.355686594228,588.0754257811875,-54.33021388092979
2.0,-4130.450917071984,473.64455388217675,-324.99347065315874
2.0,-4181.031320915848,-55.36332161577999,-1527.17298660122
2.0,-3995.9049127140984,-42.51111970573175,-1191.3133937804425
2.0,-3668.1397039382186,-130.49925509534899,-1446.1716178987847
2.0,-3579.116991308869,-300.5437491858592,-1258.4852634883318
2.0,-3639.8143064780315,-167.07858284477328,-593.6810716253813
2.0,-3703.546328622787,243.78762320905435,-490.94758072837453
2.0,-3909.9171513416727,491.5554748206842,49.937879055982734
2.0,-4077.8461538377355,483.5950485506996,668.1688007761221
2.0,-3930.1495083042832,256.7232815457172,842.9514213663633
2.0,-3739.9645222992194,13.930721162650428,995.761302650952
2.0,-3625.6516077479378,-113.6925392097137,1067.6718637591503
2.0,-3840.1152266830695,-100.84033348276967,846.9463982543008
2.0,-4232.624515158232,-106.77211780528553,557.3067264478715
2.0,-4534.087708738984,-347.9980237659861,217.7291412333973
2.0,-4463.273970807185,-440.92929876241527,72.90929769639109
2.0,-4803.179228892092,-419.17943563617644,-14.81733166566882
2.0,-5802.660691933554,-558.5763786659866,-659.8651897711832
2.0,-4512.843538503178,-602.076165988797,-1307.8763836719952
2.0,-2597.8440144022957,-204.64656294369308,-874.2225463273096
2.0,-4050.532569650744,-410.2817629692984,-903.8572306515741
2.0,-4155.741363275247,-677.2120345811375,-774.4524933275629
2.0,-3575.0704710600808,-151.2604964072587,-407.97052569076664
2.0,-3674.2093621707354,209.955880265744,424.4719738843011
2.0,-3865.4059171676636,-6.9204152019724985,718.1066836490006
2.0,-3928.1263703205545,-594.1670693334986,773.0383487021337
2.0,-3856.3010633968915,-1135.9366481421423,283.6471759393567
2.0,-3679.267451411388,-1182.4022551051905,-64.20843181062918
2.0,-3671.1744109138112,-993.5738854720945,-262.7606641073696
