Device,Acc_x,Acc_y,Acc_z
2.0,-3423.32730527784,828.8779463924345,-273.6267252046554
2.0,-2978.2137421310927,379.1146407850453,320.60117018027387
2.0,-3374.7693065737117,603.9962783211568,933.8383669735956
2.0,-3463.792263484392,403.9909385266851,1142.5786575333018
2.0,-3916.9983785660543,65.67340222049933,842.9514213663633
2.0,-4906.364640251535,-420.16804218292236,-95.81874139973375
2.0,-5317.082659142917,-893.7221203671128,-1187.3621432507625
2.0,-4260.949912618418,-1183.3909837926021,-950.2848518676445
2.0,-4257.9149613614945,-891.7449072736209,-1019.4323468403738
2.0,-4080.8811050946597,-442.9065729262399,-1252.5583876938117
2.0,-3807.7433089740944,-249.13494154566624,-1294.0468846774493
2.0,-3565.96586157064,-114.68116102404282,-1489.6357401472624
2.0,-3517.407862866511,-264.9530585183472,-1541.990237157853
2.0,-3476.9431489412905,-302.5209928145174,-1643.7359764927724
2.0,-3609.4655267527846,-305.48690406025435,-1620.0282290333607
2.0,-3541.686984359241,-495.304002380762,-1462.9646158609235
2.0,-3702.5347596309225,-552.6445561745128,-1317.754632136861
2.0,-3774.3598222732544,-507.16758629337687,-1085.616403915843
2.0,-4260.949912618418,-546.7127947533717,-878.1737968569896
2.0,-4382.344542956743,-641.6213439136255,-661.8408150360233
2.0,-4047.4976183938197,-826.495287359738,-251.8946335452502
2.0,-4034.346732936922,-767.1774288669961,-71.1231889416937
2.0,-3812.801642496078,-731.5867381994842,-35.56159447084685
2.0,-2850.749453560251,-651.5076536624158,93.88320880835174
2.0,-2556.3674872038796,-593.1784627867527,179.77635696774624
2.0,-2274.125081593873,-602.076165988797,734.0867744117487
2.0,-1954.4526690342389,-802.768180604841,1216.4868292261342
2.0,-2312.5666575353653,-978.744420848909,1198.5091889490848
2.0,-2778.9243909179186,-613.9396888310793,1729.8480770627007
2.0,-4164.845728483357,-1093.4255895067433,1663.9302255677396
2.0,-3998.9396196896914,-1462.1848698522224,1033.7140716490198
2.0,-3828.9874792099,-1715.274374993121,1119.6071740056648
2.0,-4095.043803824753,-1361.344437130162,1232.4668589185496
2.0,-3983.7655962490644,-1318.833378494763,1188.52150244791
2.0,-4052.5557076344726,-1213.049913038973,1009.7439049697314
2.0,-3757.162172286237,-956.0059206407578,1155.5624545597639
2.0,-3443.5596622404505,-1055.8575636050741,1139.5824248673487
2.0,-3406.1296552908225,-1203.1636032901827,1191.5178572545287
2.0,-3368.6996483411945,-1090.4596477258401,1059.6817878426098
2.0,-3453.675840721756,-970.8353241936105,1170.543984311526
2.0,-3443.5596622404505,-942.1650625643183,1179.5326823093853
2.0,-3472.896628692502,-1032.1305179205096,1117.6098077023616
2.0,-3450.6408894648316,-1174.4932805905578,1561.058105015364
2.0,-3412.1993135233397,-875.9267750333568,1268.4221394726487
2.0,-3588.2213565169786,-773.10925135847,1226.4742714459778
